   2.0000000000000000e+00   0.0000000000000000e+00
   3.0000000000000000e+00   0.0000000000000000e+00
   4.0000000000000000e+00   3.0000000000000000e+00
   5.0000000000000000e+00   5.0000000000000000e+00
   6.0000000000000000e+00   1.0000000000000000e+01
   7.0000000000000000e+00   1.1000000000000000e+01
   8.0000000000000000e+00   2.1000000000000000e+01
   9.0000000000000000e+00   2.4000000000000000e+01
   1.0000000000000000e+01   3.2000000000000000e+01
   1.1000000000000000e+01   4.7000000000000000e+01
   1.2000000000000000e+01   5.4000000000000000e+01
   1.3000000000000000e+01   6.8000000000000000e+01
   1.4000000000000000e+01   7.4000000000000000e+01
   1.5000000000000000e+01   9.4000000000000000e+01
   1.6000000000000000e+01   1.0800000000000000e+02
   1.7000000000000000e+01   1.2200000000000000e+02
   1.8000000000000000e+01   1.5100000000000000e+02
   1.9000000000000000e+01   1.7300000000000000e+02
   2.0000000000000000e+01   1.9700000000000000e+02
   2.1000000000000000e+01   1.9200000000000000e+02
   2.2000000000000000e+01   2.1100000000000000e+02
   2.3000000000000000e+01   2.5400000000000000e+02
   2.4000000000000000e+01   2.7500000000000000e+02
   2.5000000000000000e+01   2.9500000000000000e+02
   2.6000000000000000e+01   3.2300000000000000e+02
   2.7000000000000000e+01   3.8200000000000000e+02
   2.8000000000000000e+01   4.0000000000000000e+02
   2.9000000000000000e+01   4.3100000000000000e+02
   3.0000000000000000e+01   4.4700000000000000e+02
   3.1000000000000000e+01   4.7000000000000000e+02
   3.2000000000000000e+01   5.4300000000000000e+02
   3.3000000000000000e+01   5.6000000000000000e+02
   3.4000000000000000e+01   6.0900000000000000e+02
   3.5000000000000000e+01   6.4500000000000000e+02
   3.6000000000000000e+01   6.7500000000000000e+02
   3.7000000000000000e+01   7.3600000000000000e+02
   3.8000000000000000e+01   7.7000000000000000e+02
   3.9000000000000000e+01   8.1000000000000000e+02
   4.0000000000000000e+01   8.6500000000000000e+02
   4.1000000000000000e+01   9.5700000000000000e+02
   4.2000000000000000e+01   9.5100000000000000e+02
   4.3000000000000000e+01   1.0240000000000000e+03
   4.4000000000000000e+01   1.0670000000000000e+03
   4.5000000000000000e+01   1.1320000000000000e+03
   4.6000000000000000e+01   1.1930000000000000e+03
   4.7000000000000000e+01   1.2710000000000000e+03
   4.8000000000000000e+01   1.2870000000000000e+03
   4.9000000000000000e+01   1.3490000000000000e+03
   5.0000000000000000e+01   1.4480000000000000e+03
