   2.9997400031050452e+00   1.0315881761079688e+00   2.2392218440676226e+00   4.0576072901867475e+00   1.7441836911537699e+01
   6.9990040977894319e+00   2.7511054661643102e+00   4.3175078894575210e+00   7.9089894259778033e+00   3.7039514918688575e+01
   1.1009004624924483e+01   5.4356381066701678e+00   7.0470477518411920e+00   1.1834167638113492e+01   5.6775177093734364e+01
   1.5148043864857089e+01   9.1211552278380044e+00   1.0725875475033540e+01   1.5946069890135513e+01   7.6558994747139494e+01
   1.9796935013433419e+01   1.3819870701189393e+01   1.5418163145591519e+01   2.0628727724917191e+01   9.6359597900796203e+01
   2.5350825528309361e+01   1.9536092518306813e+01   2.1130740965034221e+01   2.6237484964221132e+01   1.1616265356710831e+02
   3.1948329786140576e+01   2.6270720335788518e+01   2.7863360661506366e+01   3.2884811844803757e+01   1.3596049665771670e+02
   3.9598453923710196e+01   3.4022831997190465e+01   3.5614339833634325e+01   4.0576493907059685e+01   1.5574857666964274e+02
   4.8289161268407142e+01   4.2790343242803488e+01   4.4381196961522463e+01   4.9302210267632951e+01   1.7552398193462281e+02
   5.8009319984006012e+01   5.2570318671169680e+01   5.4160789232055606e+01   5.9052479306072151e+01   1.9528474063259907e+02
   6.8750017063175889e+01   6.3359133406709951e+01   6.4949379634249439e+01   6.9819546235374901e+01   2.1502945630755497e+02
   8.0503665123794349e+01   7.5152564102329649e+01   7.6742681789709835e+01   8.1596625227440441e+01   2.3475710328171607e+02
   9.3263300385235439e+01   8.7945843728241869e+01   8.9535891947690658e+01   9.4377322706459793e+01   2.5446690492071679e+02
   1.0702216482666587e+02   1.0173369658233169e+02   1.0332371233712459e+02   1.0815529905962602e+02   2.7415825768593663e+02
   1.2177346542801740e+02   1.1651036192850046e+02   1.1810036860432604e+02   1.2292407690157599e+02   2.9383068198740904e+02
   1.3751023358985822e+02   1.3226961081927200e+02   1.3385962321277157e+02   1.3867693143124052e+02   3.1348379122601790e+02
   1.5422524121452631e+02   1.4900475869581550e+02   1.5059478608876518e+02   1.5540682668728078e+02   3.3311729294758595e+02
   1.7191094960028317e+02   1.6670867530403547e+02   1.6829872338745349e+02   1.7310637802200264e+02   3.5273118682170701e+02
   1.9055947791104117e+02   1.8537379287305004e+02   1.8696386497616328e+02   1.9176782997507937e+02   3.7232723199314410e+02
   2.1016258368651032e+02   2.0499211315649296e+02   2.0658221104545717e+02   2.1138304346020774e+02   3.9191656853296212e+02
   2.3071165098177369e+02   2.2555521372809986e+02   2.2714533813279226e+02   2.3194348874934585e+02   4.1154708477912510e+02
   2.5219768348210062e+02   2.4705425379296335e+02   2.4864440475869878e+02   2.5344024217110626e+02   4.3136177550231685e+02
   2.7461130095391479e+02   2.6947997969265271e+02   2.7107015681732332e+02   2.7586398525796227e+02   4.5164064052290917e+02
   2.9794273799503674e+02   2.9282273022792924e+02   2.9441293282308425e+02   2.9920500555611312e+02   4.7272378070558278e+02
   3.2218184441350269e+02   3.1707244188633297e+02   3.1866266908712674e+02   3.2345319859919533e+02   4.9485737044666024e+02
   3.4731808679210280e+02   3.4221865403703782e+02   3.4380890487744222e+02   3.4859807072312782e+02   5.1813604617586373e+02
   3.7334055094056777e+02   3.6825051413809780e+02   3.6984078760228772e+02   3.7462874250946800e+02   5.4255497403250263e+02
   4.0023794503114107e+02   3.9515678298898797e+02   3.9674707804627036e+02   4.0153395271477223e+02   5.6807165605308830e+02
   4.2799860327516961e+02   4.2292584005259505e+02   4.2451615568090097e+02   4.2930206258885477e+02   5.9463731509134686e+02
   4.5661049003983868e+02   4.5154568886444127e+02   4.5313602406583408e+02   4.5792106051469295e+02   6.2220715402722931e+02
   4.8606120433243603e+02   4.8100396254223176e+02   4.8259431635283357e+02   4.8737856692263694e+02   6.5074215935006418e+02
   5.1633798459904506e+02   5.1128792940530479e+02   5.1287830090131592e+02   5.1766183944502677e+02   6.8020842731213054e+02
   5.4742771379819715e+02   5.4238449871092473e+02   5.4397488701191708e+02   5.4875777828651439e+02   7.1057605168439648e+02
   5.7931692471968597e+02   5.7428022651231959e+02   5.7587063078263930e+02   5.8065293179170953e+02   7.4181813132802586e+02
   6.1199180552563985e+02   6.0696132164181665e+02   6.0855174109068457e+02   6.1333350219621093e+02   7.7390999521833112e+02
   6.4543820549595216e+02   6.4041365182119057e+02   6.4200408570192633e+02   6.4678535155016039e+02   8.0682862126423970e+02
   6.7964164096379739e+02   6.7462274990039032e+02   6.7621319750905479e+02   6.8099400780566589e+02   8.4055220449419778e+02
   7.1458730142964509e+02   7.0957382022502384e+02   7.1116428089869839e+02   7.1594467106098557e+02   8.7505983530509093e+02
   7.5026005584416339e+02   7.4525174513237448e+02   7.4684221824722135e+02   7.5162221995548316e+02   9.1033125790209021e+02
   7.8664445905186915e+02   7.8164109157520988e+02   7.8323157654442730e+02   7.8801121821015215e+02   9.4634668730567034e+02
   8.2372475838850687e+02   8.1872611787222388e+02   8.2031661414396717e+02   8.2509592130907163e+02   9.8308666949040185e+02
   8.6148490042594847e+02   8.5649078058362318e+02   8.5808128763894251e+02   8.6286028331756540e+02   1.0205319736323354e+03
   8.9990853785905279e+02   8.9491874151006152e+02   8.9650925886089158e+02   9.0128796383310976e+02   1.0586635085376486e+03
   9.3897903652938362e+02   9.3399337481289149e+02   9.3558390200011740e+02   9.4036233506524513e+02   1.0974622574949276e+03
   9.7867948258105321e+02   9.7369777425349287e+02   9.7528831084510307e+02   9.8006648904086876e+02   1.1369092273228248e+03
